 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
    +165	 +0.2645638903932288E+004	 +0.0000000000000000E+000	 -0.5110099833233962E+000	 +0.2645638903932288E+004	
    +166	 +0.2717822138076839E+004	 +0.0000000000000000E+000	 -0.5168346317260323E+000	 +0.2717822138076839E+004	
    +167	 +0.2785391946031871E+004	 +0.0000000000000000E+000	 -0.5196152675009530E+000	 +0.2785391946031871E+004	
    +168	 +0.2769649980585870E+004	 +0.0000000000000000E+000	 -0.4270153221311281E+000	 +0.2769649980585870E+004	
    +169	 +0.2832808676957302E+004	 +0.0000000000000000E+000	 -0.3892401576953784E+000	 +0.2832808676957302E+004	
    +170	 +0.2901953411166100E+004	 +0.0000000000000000E+000	 -0.3564351440626307E+000	 +0.2901953411166100E+004	
    +171	 +0.2964225789151287E+004	 +0.0000000000000000E+000	 -0.3469604704132511E+000	 +0.2964225789151287E+004	
    +172	 +0.3074222689409935E+004	 +0.0000000000000000E+000	 -0.3369241200797053E+000	 +0.3074222689409935E+004	
    +173	 +0.3110744581802441E+004	 +0.0000000000000000E+000	 -0.3302059721194300E+000	 +0.3110744581802441E+004	
    +174	 +0.3154445192752154E+004	 +0.0000000000000000E+000	 -0.3224227443911430E+000	 +0.3154445192752154E+004	
    +175	 +0.3176656198362571E+004	 +0.0000000000000000E+000	 -0.3145383927505461E+000	 +0.3176656198362571E+004	
    +176	 +0.3332397762953075E+004	 +0.0000000000000000E+000	 -0.4106993684369302E+000	 +0.3332397762953075E+004	
    +177	 +0.3342268103131393E+004	 +0.1857199241057187E+002	 -0.4680239463827927E+000	 +0.3323696110720821E+004	
    +178	 +0.3334540510510142E+004	 +0.2966383596397309E+003	 -0.4948122126117514E+000	 +0.3037902150870411E+004	
    +179	 +0.3276294964249769E+004	 +0.7731013850153552E+003	 -0.5007247795013209E+000	 +0.2503193579234414E+004	
    +180	 +0.3278717883675259E+004	 +0.5440767888687772E+003	 -0.5117251976430390E+000	 +0.2734641094806482E+004	
    +181	 +0.3252752682997183E+004	 +0.8379150724939427E+003	 -0.5112502406525966E+000	 +0.2414837610503241E+004	
    +182	 +0.3716595894993799E+004	 +0.4863541242832144E+005	 -0.5043832093186510E+000	 +0.0000000000000000E+000	
    +183	 +0.3558996887274332E+004	 +0.3543691175973392E+005	 -0.4999395059028559E+000	 +0.0000000000000000E+000	
    +184	 +0.3431315781025231E+004	 +0.3230750681037334E+005	 -0.5043459331763709E+000	 +0.0000000000000000E+000	
    +185	 +0.3456185587402992E+004	 +0.1304268050047116E+005	 -0.5087968321837039E+000	 +0.0000000000000000E+000	
    +186	 +0.2748480641940817E+004	 +0.0000000000000000E+000	 -0.4074220010142849E+000	 +0.2748480641940817E+004	
    +187	 +0.2811825817603326E+004	 +0.0000000000000000E+000	 -0.3683559682180577E+000	 +0.2811825817603326E+004	
    +188	 +0.2755976871209688E+004	 +0.0000000000000000E+000	 -0.3405622647724555E+000	 +0.2755976871209688E+004	
    +189	 +0.2840642794442005E+004	 +0.0000000000000000E+000	 -0.3283912961524887E+000	 +0.2840642794442005E+004	
    +190	 +0.2887465738088876E+004	 +0.0000000000000000E+000	 -0.3203439883814218E+000	 +0.2887465738088876E+004	
    +191	 +0.2954122322549655E+004	 +0.5680245449174336E+003	 -0.3127421217945726E+000	 +0.2386097777632221E+004	
    +192	 +0.3095170864384358E+004	 +0.1087034742174358E+004	 -0.3087067443256876E+000	 +0.2008136122210000E+004	
    +193	 +0.3154825473016918E+004	 +0.6347534886704490E+003	 -0.3033552725159625E+000	 +0.2520071984346469E+004	
